textbox3,textbox7,textbox12,textbox23,textbox10,textbox9,textbox11,textbox8
"Friday, June 6, 2025",All,All,True,All,All,All,All

Location,textbox39,textbox89,AnimalName,Species,PrimaryBreed,textbox90,PrimaryColour,Stage,ReviewDate,StageChangeReason,ARN,textbox61,textbox78,SecondaryBreed,Gender,SecondaryColour,textbox79,SubLocation,HoldReason,HorForName,HoldStartDate,HoldPlacedBy,textbox47
  Adoptions Lobby,2,A0058071379,CHERRY BLOSSOM,Rabbit,Florida White,,White,Available,,,,60.00,Small,Satin,F,,,Rabbitat 1,,,,,372
  Adoptions Lobby,2,A0058605265,COFFEECAKE,Rabbit,Rex,,Orange,Hold - Surgery,,,,,Small,,M,Black,,Rabbitat 2,,,,,372
  Cat Adoption Condo Rooms,23,A0053723383,NUGGET,Rabbit,Lion Head,2y 3m 26d,Black,Available,,,,60.00,Small,Mix,M,,,Rabbitat 1,,,,,372
  Cat Adoption Condo Rooms,23,A0057930227,CALIX,Cat,Domestic Shorthair,4y 3m 2d,Orange,Available,,bite/scratch,,0.00,Small,,M,,,Condo C,,,,,372
  Cat Adoption Condo Rooms,23,A0057940951,SNOWDROP,Cat,Domestic Shorthair,2y 3m 3d,Black,Available,,,,0.00,Small,,M,,,Condo C,,,,,372
  Cat Adoption Condo Rooms,23,A0058273702,TINK,Cat,Domestic Shorthair,9y 1m 28d,Brown,Available,,,,50.00,Small,,F,,,Condo A,,,,,372
  Cat Adoption Condo Rooms,23,A0058443968,ROTHSCHILD,Cat,Domestic Longhair,11m 0d,Black,Hold - Behavior,,med cleared,4,,Small,,F,,,Condo F,,,,,372
  Cat Adoption Condo Rooms,23,A0058443991,NAIA,Cat,Domestic Longhair,9m 0d,Grey,Available,,,5,120.00,Small,,F,,,Condo B,,,,,372
  Cat Adoption Condo Rooms,23,A0058444000,Christophe Blanc,Cat,Domestic Longhair,9m 0d,Black,Available,,,Case #6,120.00,Small,,M,White,,Condo D,,,,,372
  Cat Adoption Condo Rooms,23,A0058444241,Henri Bourgeois,Cat,Snowshoe,1y 1m 0d,Cream,Hold - Behavior,,Medically cleared,Case #20,,Small,Mix,M,Brown,,Condo F,,,,,372
  Cat Adoption Condo Rooms,23,A0058444296,Oyster Bay,Cat,Domestic Longhair,1y 1m 0d,Black,Available,,,23,120.00,Small,,M,White,,Condo D,,,,,372
  Cat Adoption Condo Rooms,23,A0058446727,FAY,Cat,Domestic Longhair,4y 1m 0d,Black,Available,,,Case #32,120.00,Small,,F,Orange,,Condo F,,,,,372
  Cat Adoption Condo Rooms,23,A0058446740,De Angeles,Cat,Domestic Longhair,2y 1m 0d,Black,Available,,,Case #33,120.00,Small,,M,White,,Condo B,,,,,372
  Cat Adoption Condo Rooms,23,A0058446768,GAIA,Cat,Domestic Longhair,2y 1m 0d,Black,Available - ITFF Medical,,,34,120.00,Small,,F,White,,Condo F,,,,,372
  Cat Adoption Condo Rooms,23,A0058454445,Quinta Nova,Cat,Domestic Longhair,2y 30d,Grey,Available,,,42,120.00,Small,,F,Tan,,Condo F,,,,,372
  Cat Adoption Condo Rooms,23,A0058459341,MIRASSOU,Cat,Balinese,2y 29d,Seal,Available,,,45,120.00,Small,Mix,M,,,Condo B,,,,,372
  Cat Adoption Condo Rooms,23,A0058459351,BAREFOOT,Cat,Domestic Longhair,3y 29d,Black,Available,,,46,120.00,Small,,F,Orange,,Condo B,,,,,372
  Cat Adoption Condo Rooms,23,A0058462380,SEPERAVI,Cat,Domestic Longhair,1y 6m 29d,Black,Available,,,49,120.00,Small,,M,,,Condo B,,,,,372
  Cat Adoption Condo Rooms,23,A0058470414,GIESEN,Cat,Domestic Longhair,3y 28d,Black,Available,,,,120.00,Small,,M,White,,Condo D,,,,,372
  Cat Adoption Condo Rooms,23,A0058486296,LAMARCA,Cat,Domestic Longhair,1y 24d,Black,Available,,,57,120.00,Small,,F,,,Condo D,,,,,372
  Cat Adoption Condo Rooms,23,A0058581619,SMOKEY,Cat,Domestic Shorthair,4y 10d,Black,Available,,,,120.00,Small,,M,Smoke,,Condo E,,,,,372
  Cat Adoption Condo Rooms,23,A0058581626,JOSIE,Cat,Domestic Shorthair,4y 10d,Black,Available,,,,120.00,Small,,F,,,Condo E,,,,,372
  Cat Adoption Condo Rooms,23,A0058610539,XENA,Cat,Domestic Shorthair,7y 1d,Black,Hold - Behavior,,CLEAR 6/6 PER NA,,,Small,,F,White,,Condo E,,,,,372
  Cat Adoption Condo Rooms,23,A0058610557,NUTELLA,Cat,Domestic Longhair,4y 7d,Orange,Hold - Behavior,,CLEAR 6/6 PER NA,,,Small,,F,Black,,Condo E,,,,,372
  Cat Adoption Condo Rooms,23,A0058610590,DINI,Cat,Domestic Shorthair,7y 7d,Black,Hold - Behavior,,CLEAR 6/6 - ITFF - DENTAL,,,Small,,M,White,,Condo E,,,,,372
  Cat Adoption Room G,7,A0057806699,Marble,Cat,Domestic Shorthair,2y 2m 24d,Black,Available,,,Res,120.00,Small,,F,White,,03,,,,,372
  Cat Adoption Room G,7,A0058246097,Peachy,Cat,Domestic Shorthair,4y 2m 2d,Orange,Available,,,,120.00,Small,,F,Brown,,06,,,,,372
  Cat Adoption Room G,7,A0058549497,SILKY,Cat,Domestic Shorthair,2y 16d,Brown,Available,,,,120.00,Small,,F,Orange,,04,,,,,372
  Cat Adoption Room G,7,A0058577580,Flapjack,Cat,Domestic Shorthair,1y 10d,Orange,Available,,,,120.00,Small,,M,White,,02,,,,,372
  Cat Adoption Room G,7,A0058594817,TRIXIE,Cat,Domestic Shorthair,9y 7d,Grey,Available - ITFF Medical,,,,50.00,Small,,F,Tan,,01,,,,,372
  Cat Adoption Room G,7,A0058596368,INKSPOT,Cat,Domestic Shorthair,1y 8d,Black,Hold - Behavior,,,,,Small,,F,,,08,,,,,372
  Cat Adoption Room G,7,A0058627577,Minou,Cat,Domestic Shorthair,8y 3d,Black,Hold - Behavior,,,,,Small,,F,,,05,,,,,372
  Cat Adoption Room H,6,A0058359509,BARN,Cat,Domestic Shorthair,2y 3d,Black,Hold - Behavior,,,,,Small,,F,Orange,,03,,,,,372
  Cat Adoption Room H,6,A0058365249,LADY,Cat,Domestic Shorthair,7y 1m 13d,Black,Available,,,,50.00,Small,,F,White,,08,,,,,372
  Cat Adoption Room H,6,A0058484864,PALMETTO,Cat,Domestic Shorthair,1y 25d,Black,Available,,,,120.00,Small,,F,White,,05,,,,,372
